NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
"2,10056E+11",2022,3,F,0,1,1,2,0,2,1.0,0,4203204.0,Camboriú,42.0,SC,2.0,1.0,1.0,4203204,Camboriú,42,SC,1,1,1,1,1087.0,1056.0,1066.0,1078.0,512.5,530.8,513.0,472.4,DCECEBABDDAEDCEDECCBDADDCEABAADBBACBDDCCAECCB,ECBABDCDBAEBDEBDDEDBBACDACADECBEBDAABCEDBAACE,BCEAAEDCCADACECACDECBCCBCADEAEAADDBCBECDDCCBE,ABEDBCABCDCDECDDDECBBECCDBCADADACDCBECBEDAECE,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,120.0,120.0,100.0,80.0,540.0,B,D,B,B,5,F,A,C,D,B,B,B,A,B,B,B,A,B,C,A,A,E,A,B,B
"2,10055E+11",2022,2,M,1,1,1,2,0,2,1.0,0,4216602.0,São José,42.0,SC,2.0,1.0,1.0,4216602,São José,42,SC,1,1,1,1,1085.0,1057.0,1068.0,1075.0,443.2,575.7,376.3,510.2,ADEEBCCACCCADABBDAAEBCDADBBCCECBADBCACDAADBCD,DBCCAEDCDEAADCBDCAADBCCDDEBECBEECEADAEACBCCAC,ADACDBEDDECCBEECCBACEC*BACEAABCBEAAAAEEAACCAA,CEACCACAACECBEBDBCACBBDDDEADECCDCEEEBDCECECBD,0,ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE,1.0,140.0,200.0,140.0,180.0,160.0,820.0,E,F,F,F,3,C,A,B,C,B,A,B,B,B,A,B,A,A,C,B,A,C,A,B,B
"2,10055E+11",2022,3,F,1,1,1,2,0,2,1.0,0,4219507.0,Xanxerê,42.0,SC,2.0,1.0,1.0,4204202,Chapecó,42,SC,1,1,1,1,1187.0,1177.0,1181.0,1183.0,547.5,503.0,518.0,582.3,BDDDDEEDCBDBCEBCCECDACDCDDCDCDCDCDACECDCCDECA,DCDCEAAEDDCCAABCDAEBCCCDBECCCBDDACACACDBEBDAB,ADEBBCCEDECCBCEDBEDAEECECCADBDEBACECBDCEEDBAA,ACCECDBDECADBCCEDBDDDACDEDCDADDBCDDEBDBECABBE,0,ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE,1.0,80.0,120.0,80.0,100.0,120.0,500.0,B,C,C,B,3,E,A,B,D,B,A,B,A,B,A,B,A,A,B,A,A,D,A,A,B
"2,10057E+11",2022,2,M,1,1,1,2,0,3,1.0,0,4215802.0,São Bento do Sul,42.0,SC,4.0,1.0,1.0,4215802,São Bento do Sul,42,SC,1,1,1,1,1086.0,1055.0,1065.0,1076.0,497.0,494.5,476.0,548.6,DBDDCECACCCDEBCBDCBCBDCAACBBBDAEDCACBDCCEBCEC,ACACCDDBEDAABBBEBACEDDDBAADBCEADCBBCCDAEBCADE,DDBBAECBAACBADEAAAACAECACCCBCDBCAEECADADACBCD,CDEC*CDEEEACEDCBCDCBDABC*BBDBCACCDCAEDCAEEBDD,0,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,120.0,160.0,120.0,160.0,80.0,640.0,G,G,E,E,4,Q,B,E,D,C,A,C,C,C,B,B,A,B,E,B,B,E,A,E,B
"2,10055E+11",2022,2,F,1,1,1,2,0,2,1.0,0,4207502.0,Indaial,42.0,SC,2.0,1.0,1.0,4207502,Indaial,42,SC,1,1,1,1,1086.0,1055.0,1065.0,1076.0,447.1,526.0,538.4,629.8,ECBCBBCEBCCDEABDBEDBDCABCBCADEAECBECCECEEABEC,DEACBDCADDACDBEEBBDBACEDAAECCDDACBADCEDCDBCCE,DCBBEEEBACABADECBEABEACEBCCBADAAADECABADBCDAA,DCDAACBEEBACBDBCBBDDBEBABBDCBEADDAECAACCBEABE,0,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,140.0,200.0,140.0,160.0,100.0,740.0,E,G,F,D,4,I,A,C,C,C,A,B,B,B,A,B,A,B,C,B,A,E,A,C,B
"2,10056E+11",2022,2,F,1,3,1,2,0,2,1.0,0,4208203.0,Itajaí,42.0,SC,2.0,1.0,1.0,4208203,Itajaí,42,SC,1,1,1,1,1086.0,1055.0,1065.0,1076.0,496.0,553.5,518.7,569.4,EBCACABDBBCCDEBEBAECADBEABBCEADEACECDACDBAAEB,CEABBEDEAEABECBBDACBADDCAEEDEEDDBDEDAEDAABACD,BCBDDEDAAADADDBCBBCDEAEECDCEDDAEDEACAABDBEECC,DCBAABCEECADADCBCEDCCABDEEBDBEEADBDCBBEACEACB,0,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,140.0,160.0,120.0,120.0,160.0,700.0,H,F,F,D,2,G,A,B,C,B,A,B,B,B,A,B,A,A,B,A,A,B,A,A,B
"2,10058E+11",2022,3,F,1,1,1,2,0,2,1.0,0,4205407.0,Florianópolis,42.0,SC,1.0,1.0,1.0,4205407,Florianópolis,42,SC,1,1,1,1,1086.0,1055.0,1065.0,1076.0,576.8,641.3,641.9,745.0,DCBCCABEAECCCADCACEEBACBABDCDEEADDABDEBCCEEEA,DEABCDDAEBAAECBEDCBBBDDDAADCEECAECDDBBDDCABCA,DDBDEEADACACBDBBBACCEEAECCBBDEEAADCCABBDDDECE,BBDAACEBECADDBCEBDECBADCAEBCABEADACBDBDDCEEAC,0,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,160.0,200.0,180.0,200.0,180.0,920.0,H,E,C,D,3,C,A,B,C,A,A,B,B,B,A,B,A,A,B,A,A,D,A,B,B
"2,10057E+11",2022,3,F,1,1,1,2,0,2,1.0,0,4211900.0,Palhoça,42.0,SC,2.0,1.0,1.0,4211900,Palhoça,42,SC,1,1,1,1,1088.0,1058.0,1067.0,1077.0,422.4,516.7,572.5,460.5,CCBDDCCCEEEADBECBACBBABDCBECAACECBBCADEDEBBCA,CCACAACDDECECDEACCACBBDDECBEEBBCAACCECAABBACD,CDBEDACEBDEEBDDAAEEEEEEADDEAADCCAACBBBDCDCCCB,BAAADCEBAABEBABDABDAAAAAEBDECCBDBCDBACADADEEB,0,DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE,1.0,120.0,180.0,120.0,120.0,80.0,620.0,D,D,D,C,4,G,A,C,D,A,B,C,B,B,A,B,A,B,C,A,B,E,A,C,B
"2,10057E+11",2022,2,F,1,1,1,2,0,2,1.0,0,4202404.0,Blumenau,42.0,SC,2.0,1.0,1.0,4202404,Blumenau,42,SC,1,1,1,1,1086.0,1055.0,1065.0,1076.0,479.3,543.1,452.4,491.6,EACADEBABDBDCDBBBEEDCECEBABCDADABEAEDECDCBBAC,CEABCDDACBADEABEBDCBBCDBCECEABCADDDCCBDDBCAAE,DBBEBCACAEBDCCEABCCABBDBBEBEADAADDECDDAECCBEE,CADDEBACEDACDBEBAECACCBACDBCBECBABECDEBADECDB,0,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,140.0,200.0,140.0,160.0,160.0,800.0,B,D,F,B,5,C,A,B,C,B,A,B,B,B,A,A,A,B,B,A,A,A,A,A,B
"2,10057E+11",2022,3,F,1,1,1,2,0,2,1.0,0,4216206.0,São Francisco do Sul,42.0,SC,2.0,1.0,1.0,4216206,São Francisco do Sul,42,SC,1,1,1,1,1087.0,1056.0,1066.0,1078.0,541.5,597.2,594.0,598.5,ECECBCAADCAAECCBADCCADADEEABDBECDBCDECBCEDBAB,ECECBADDEBCBDAEBAEBBCEAADCADACBCDDEABCDCAAEDB,DECDBEDBCAECCEEEADCAACECBDBACEAABDECBEABEECBE,CEEBABACDEBEBCDDBCEACBDAADBBDBAECEABBDEADEBDA,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,140.0,200.0,140.0,140.0,120.0,740.0,E,E,D,B,3,B,A,B,C,A,B,B,B,B,A,B,A,A,C,A,A,B,A,B,B
"2,10058E+11",2022,4,M,1,1,1,2,0,2,1.0,0,4202008.0,Balneário Camboriú,42.0,SC,2.0,1.0,1.0,4202008,Balneário Camboriú,42,SC,1,1,1,1,1088.0,1058.0,1067.0,1077.0,431.9,569.3,554.5,505.2,DDABACAEDEECCACECECEBDBBBCDABDDAADABDDCACABDC,CBCAAAADDDCBABDAAEABBEDCDCBDCDBABEADEACEBDADC,CDBEEAEBECBDBDECEBAEEECACADDBBEDEACBDAAADACCA,DBCBDCECBACCAEEDBAAADDBCDEACECDCDCBBCBDCAEEDD,0,DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE,1.0,120.0,120.0,120.0,140.0,60.0,560.0,C,C,C,B,4,C,A,B,C,B,B,B,B,B,B,B,A,B,B,A,B,D,A,B,B
"2,10055E+11",2022,2,F,1,1,1,2,0,2,1.0,0,4217006.0,São Ludgero,42.0,SC,2.0,1.0,1.0,4202800,Braço do Norte,42,SC,1,1,1,1,1087.0,1056.0,1066.0,1078.0,404.7,541.7,592.5,464.5,DCDCACEBEDECCCBABAACADACAEEAABBABBABBBCAAEEAD,EAEEBDCBAEDCAABECADDABCDCCADBBADDCAAECECAAEBB,CCBAADEBCACACCAEADCCECEABCBECABABDDCDBAACEEBB,AAECACCBACBAEBABBAEDEAEBEBCADAADDECDDABBEABAE,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,80.0,60.0,120.0,20.0,400.0,B,D,C,B,3,D,A,B,C,B,A,B,A,B,A,B,A,B,B,A,A,A,A,A,B
"2,10057E+11",2022,3,F,1,4,1,2,0,2,1.0,0,4202404.0,Blumenau,42.0,SC,2.0,1.0,1.0,4202404,Blumenau,42,SC,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,C,C,C,B,3,D,A,C,D,B,A,B,B,B,A,B,A,A,C,A,A,D,A,A,B
"2,10057E+11",2022,2,F,0,1,1,2,0,2,1.0,0,4218103.0,Timbé do Sul,42.0,SC,2.0,1.0,1.0,4201406,Araranguá,42,SC,1,1,1,1,1087.0,1056.0,1066.0,1078.0,443.2,526.6,561.7,418.4,BDDABCACAAABBBCECBECBBCDEADCDEEBCABEACCCBEECA,EBDABACECDDABBBBEEABACADEADDBCECDACACCEDAAEEA,AECDEADBCAE*DEBCBDACBCABBEBEDCEABDACDAABEECBA,ABCBDABDDECCBEACACBEACBDAEBCDACBEDBABEDBACDDE,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,4.0,0.0,0.0,0.0,0.0,0.0,0.0,F,G,D,D,4,C,A,C,D,B,B,B,B,B,B,B,A,B,D,A,A,E,A,B,B
"2,10057E+11",2022,2,F,1,1,1,2,0,2,1.0,0,4203006.0,Caçador,42.0,SC,1.0,1.0,1.0,4203006,Caçador,42,SC,1,1,1,1,1086.0,1055.0,1065.0,1076.0,483.4,571.7,530.9,555.0,ECDECECDBAACCDBDCCDDBEBDABDBEDCABCDDEADECAEEB,DEABDADECEAEECBEABCBACDDAABBBBDABDACCECDAEBEA,ADBDCBBBADABDDEABECCEAAEBCBBAACCBDBCACDDDCECE,BACDBCECECECBBACCADBCDBCADCBDEABDCBDBCBE.CBEC,0,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,140.0,120.0,120.0,140.0,120.0,640.0,E,E,D,D,4,G,A,B,D,B,B,B,B,B,B,B,A,A,B,A,A,E,A,A,B
"2,10056E+11",2022,2,F,1,1,1,2,0,2,1.0,0,4204806.0,Curitibanos,42.0,SC,2.0,1.0,1.0,4204806,Curitibanos,42,SC,0,1,1,0,,1058.0,1067.0,,,518.3,486.9,,,AEDAAEEECEBEACDEAEADDBACAAAABDBACECADABBBADDE,AAABECCBADADDAAEAABC*CEADAEABCECEACBAADCDDBAB,,1,,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,,1.0,80.0,180.0,100.0,140.0,120.0,620.0,E,E,D,D,5,G,A,C,D,B,A,B,A,B,A,B,A,A,B,A,B,C,A,B,B
"2,10057E+11",2022,2,M,1,1,1,2,0,2,1.0,0,4208203.0,Itajaí,42.0,SC,2.0,1.0,1.0,4208203,Itajaí,42,SC,1,1,1,1,1088.0,1058.0,1067.0,1077.0,471.9,484.1,395.5,392.1,ABBBBCCDCECDCABCDBBEBBBACBDCECCABBCCCBCDABACA,BCAAAABCACBEABEDABACADDDBEDDBEDADACDABBABBDBE,ABABAACCCBDDBA*DBAABBDDBDCDCBDECDEBBEACBEACCC,BCDCCCCEACCABCEAABBCDEDDBC.BDEBDCBCADBDCEBADC,1,DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE,1.0,80.0,160.0,120.0,120.0,100.0,580.0,E,E,B,B,3,D,A,C,C,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B
"2,10057E+11",2022,2,F,1,1,1,2,0,2,,0,4204301.0,Concórdia,42.0,SC,2.0,1.0,1.0,4204301,Concórdia,42,SC,1,1,1,1,1086.0,1055.0,1065.0,1076.0,511.2,484.2,546.9,478.9,EBBACDCAEACCCABBCEEACBCBCBBECCEBDCEBCCCECEACA,ACACCAEBABBDEEEEADABAAEAAAABDBDDCCACEECCDCDCA,EDBABBCBAAAADDEBBBCEEACECCBBCAACADECADADBDECC,ACDCEAEEEAECDCAECDCBECEDEDCCBBDCBDCDEEBCEDDBD,1,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,120.0,40.0,40.0,120.0,40.0,360.0,H,G,B,B,4,H,A,B,C,B,A,B,B,B,A,B,A,B,B,A,B,E,A,C,B
